AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Montane
14.3,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,3.0,no,nan,1.0,nan,nan,nan,arboreal,nan,1
7.0,2.0,yes,no,no,yes,no,no,no,2.0,3.0,3.0,no,14.0,2.0,nan,nan,0.96,arboreal,nan,1
6.5,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
7.1,2.0,yes,no,no,yes,no,no,no,2.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
35.8,4.0,yes,no,yes,yes,no,yes,no,2.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,1
27.9,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
16.0,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,3.0,no,12.5,3.0,18.0,12.8,nan,arboreal,nan,1
18.9,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,3.0,no,13.0,2.5,nan,nan,2.26,arboreal,nan,1
23.8,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,3.0,no,nan,3.0,20.5,15.1,nan,arboreal,nan,0
23.8,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.0,21.0,15.5,2.53,arboreal,nan,1
48.9,5.0,yes,no,yes,yes,yes,yes,no,2.0,3.0,3.0,no,nan,3.0,nan,nan,4.75,arboreal,nan,1
40.5,3.0,yes,no,yes,yes,no,no,no,2.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
48.8,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,3.0,no,19.0,3.0,nan,nan,nan,arboreal,nan,1
16.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,16.0,2.0,nan,nan,nan,arboreal,nan,1
16.8,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
97.6,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.5,nan,nan,nan,arboreal,nan,0
111.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,17.0,3.5,nan,nan,nan,arboreal,nan,0
14.1,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
24.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.5,nan,nan,nan,arboreal,nan,1
12.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
7.8,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,0
10.1,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
12.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
52.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,17.0,3.0,nan,nan,nan,arboreal,nan,1
12.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
70.4,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,16.5,4.0,nan,nan,nan,arboreal,nan,1
46.8,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,16.0,2.0,nan,nan,nan,arboreal,nan,1
66.7,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,23.0,3.0,nan,nan,nan,arboreal,nan,1
65.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.5,nan,nan,nan,arboreal,nan,0
64.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
59.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,0
22.3,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,16.0,2.0,nan,nan,nan,arboreal,nan,1
19.6,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.5,nan,nan,nan,arboreal,nan,1
11.2,5.0,yes,no,yes,yes,yes,yes,no,2.0,3.0,1.0,no,nan,2.0,15.85,12.35,nan,arboreal,nan,1
1200.0,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,yes,24.25,3.5,56.0,40.0,61.0,arboreal,273.6,1
